GEOID,NAME,est2019,est2021,shift,mn
0602364,"Apple Valley town, California",32,42.6,10.6,37.3
4806128,"Baytown city, Texas",24.2,29.2,5,26.7
0846465,"Loveland city, Colorado",25.5,30.3,4.8,27.9
0980000,"Waterbury city, Connecticut",25.2,29.5,4.3,27.4
1224125,"Fort Myers city, Florida",23.1,27.1,4,25.1
4876000,"Waco city, Texas",15.8,19.8,4,17.8
0648354,"Modesto city, California",28.2,32,3.8,30.1
0560410,"Rogers city, Arkansas",15.1,18.7,3.6,16.9
0515190,"Conway city, Arkansas",20.4,23.8,3.4,22.1
1239550,"Lauderhill city, Florida",28.1,31.4,3.3,29.8
2688940,"Wyoming city, Michigan",20.4,23.7,3.3,22
5560500,"Oshkosh city, Wisconsin",17,20.1,3.1,18.6
0103076,"Auburn city, Alabama",18,21,3,19.5
0686832,"Yorba Linda city, California",30.4,33.4,3,31.9
1216525,"Daytona Beach city, Florida",19.3,22.3,3,20.8
1257425,"Plantation city, Florida",25.8,28.8,3,27.3
1258715,"Port St. Lucie city, Florida",29.2,32.2,3,30.7
0682954,"Visalia city, California",20.6,23.5,2.9,22
1254200,"Palm Coast city, Florida",25.3,28.2,2.9,26.8
1239925,"Lehigh Acres CDP, Florida",35.5,38.3,2.8,36.9
4810768,"Brownsville city, Texas",18.5,21.2,2.7,19.9
1200410,"Alafaya CDP, Florida",29.3,31.9,2.6,30.6
4738320,"Johnson City city, Tennessee",16.6,19.2,2.6,17.9
4839148,"Killeen city, Texas",23,25.4,2.4,24.2
0659444,"Rancho Cordova city, California",26.8,29.1,2.3,28
1831000,"Hammond city, Indiana",23.9,26.2,2.3,25
3570500,"Santa Fe city, New Mexico",19.3,21.6,2.3,20.5
5502375,"Appleton city, Wisconsin",20.4,22.6,2.2,21.5
0410670,"Casas Adobes CDP, Arizona",23.6,25.7,2.1,24.6
3563460,"Rio Rancho city, New Mexico",28.1,30.1,2,29.1
5380010,"Yakima city, Washington",17.5,19.5,2,18.5
2829700,"Gulfport city, Mississippi",22.1,24,1.9,23
4816432,"Conroe city, Texas",25.5,27.4,1.9,26.4
4843888,"Longview city, Texas",20.4,22.3,1.9,21.4
4845384,"McAllen city, Texas",20,21.9,1.9,21
4850820,"New Braunfels city, Texas",26.4,28.3,1.9,27.4
1765000,"Rockford city, Illinois",20.2,22,1.8,21.1
2036000,"Kansas City city, Kansas",21.1,22.9,1.8,22
0613014,"Chico city, California",15.5,17.2,1.7,16.4
1823278,"Fishers city, Indiana",25.4,27.1,1.7,26.2
4023200,"Edmond city, Oklahoma",22.1,23.8,1.7,23
4147000,"Medford city, Oregon",16.1,17.8,1.7,17
4737640,"Jackson city, Tennessee",17.5,19.2,1.7,18.4
0177256,"Tuscaloosa city, Alabama",16.7,18.3,1.6,17.5
0464210,"San Tan Valley CDP, Arizona",39,40.6,1.6,39.8
0845970,"Longmont city, Colorado",25.6,27.2,1.6,26.4
4853388,"Odessa city, Texas",20.6,22.2,1.6,21.4
0624638,"Folsom city, California",24.4,25.9,1.5,25.1
0659962,"Redlands city, California",24,25.5,1.5,24.8
0680854,"Tustin city, California",25.1,26.6,1.5,25.9
0877290,"Thornton city, Colorado",33.3,34.8,1.5,34
0918430,"Danbury city, Connecticut",31.2,32.7,1.5,32
4807000,"Beaumont city, Texas",20.5,22,1.5,21.2
4832372,"Harlingen city, Texas",17.3,18.8,1.5,18
4841980,"League City city, Texas",29.6,31.1,1.5,30.4
0150000,"Mobile city, Alabama",21.5,22.9,1.4,22.2
1216725,"Deerfield Beach city, Florida",28,29.4,1.4,28.7
1983910,"West Des Moines city, Iowa",17.2,18.6,1.4,17.9
3725580,"Gastonia city, North Carolina",23.5,24.9,1.4,24.2
4875428,"Victoria city, Texas",18.6,20,1.4,19.3
7263820,"Ponce zona urbana, Puerto Rico",22.8,24.2,1.4,23.5
1269700,"Sunrise city, Florida",26.7,28,1.3,27.4
